Project Code,Data Type,RES_SEC,Date,Hour,Value
LAJ,RSE,R1 - Downtown Reservoir,2010-01-06,17,736.81
LAJ,RSE,R1 - Downtown Reservoir,2010-01-06,18,736.804
LAJ,RSE,R1 - Downtown Reservoir,2010-01-06,19,736.81
LAJ,RSE,R1 - Downtown Reservoir,2010-01-06,20,736.804
LAJ,RSE,R1 - Downtown Reservoir,2010-01-06,21,736.796
LAJ,RSE,R1 - Downtown Reservoir,2010-01-06,22,736.794
LAJ,RSE,R1 - Downtown Reservoir,2010-01-06,23,736.79
LAJ,RSE,R1 - Downtown Reservoir,2010-01-06,24,736.773
LAJ,RSE,R1 - Downtown Reservoir,2010-01-07,1,736.76
LAJ,RSE,R1 - Downtown Reservoir,2010-01-07,2,736.758
LAJ,RSE,R1 - Downtown Reservoir,2010-01-07,3,736.757
LAJ,RSE,R1 - Downtown Reservoir,2010-01-07,4,736.743
LAJ,RSE,R1 - Downtown Reservoir,2010-01-07,5,736.749
LAJ,RSE,R1 - Downtown Reservoir,2010-01-07,6,736.737
LAJ,RSE,R1 - Downtown Reservoir,2010-01-07,7,736.733
LAJ,RSE,R1 - Downtown Reservoir,2010-01-07,8,736.714
LAJ,RSE,R1 - Downtown Reservoir,2010-01-07,9,736.702
LAJ,RSE,R1 - Downtown Reservoir,2010-01-07,10,736.71
LAJ,RSE,R1 - Downtown Reservoir,2010-01-07,11,736.7
LAJ,RSE,R1 - Downtown Reservoir,2010-01-07,12,736.67
LAJ,RSE,R1 - Downtown Reservoir,2010-01-07,13,736.712
LAJ,RSE,R1 - Downtown Reservoir,2010-01-07,14,736.71
LAJ,RSE,R1 - Downtown Reservoir,2010-01-07,15,736.678
LAJ,RSE,R1 - Downtown Reservoir,2010-01-07,16,736.69
LAJ,RSE,R1 - Downtown Reservoir,2010-01-07,17,736.669
LAJ,RSE,R1 - Downtown Reservoir,2010-01-07,18,736.67
LAJ,RSE,R1 - Downtown Reservoir,2010-01-07,19,736.67
LAJ,RSE,R1 - Downtown Reservoir,2010-01-07,20,736.636
LAJ,RSE,R1 - Downtown Reservoir,2010-01-07,21,736.625
LAJ,RSE,R1 - Downtown Reservoir,2010-01-07,22,736.62
LAJ,RSE,R1 - Downtown Reservoir,2010-01-07,23,736.627
LAJ,RSE,R1 - Downtown Reservoir,2010-01-07,24,736.61
LAJ,RSE,R1 - Downtown Reservoir,2010-01-08,1,736.617
LAJ,RSE,R1 - Downtown Reservoir,2010-01-08,2,736.606
LAJ,RSE,R1 - Downtown Reservoir,2010-01-08,3,736.61
LAJ,RSE,R1 - Downtown Reservoir,2010-01-08,4,736.58
LAJ,RSE,R1 - Downtown Reservoir,2010-01-08,5,736.58
LAJ,RSE,R1 - Downtown Reservoir,2010-01-08,6,736.575
LAJ,RSE,R1 - Downtown Reservoir,2010-01-08,7,736.577
LAJ,RSE,R1 - Downtown Reservoir,2010-01-08,8,736.57
LAJ,RSE,R1 - Downtown Reservoir,2010-01-08,9,736.554
LAJ,RSE,R1 - Downtown Reservoir,2010-01-08,10,736.54
LAJ,RSE,R1 - Downtown Reservoir,2010-01-08,11,736.543
LAJ,RSE,R1 - Downtown Reservoir,2010-01-08,12,736.538
LAJ,RSE,R1 - Downtown Reservoir,2010-01-08,13,736.523
LAJ,RSE,R1 - Downtown Reservoir,2010-01-08,14,736.529
LAJ,RSE,R1 - Downtown Reservoir,2010-01-08,15,736.521
LAJ,RSE,R1 - Downtown Reservoir,2010-01-08,16,736.508
LAJ,RSE,R1 - Downtown Reservoir,2010-01-08,17,736.513
LAJ,RSE,R1 - Downtown Reservoir,2010-01-08,18,736.496
LAJ,RSE,R1 - Downtown Reservoir,2010-01-08,19,736.504
LAJ,RSE,R1 - Downtown Reservoir,2010-01-08,20,736.484
LAJ,RSE,R1 - Downtown Reservoir,2010-01-08,21,736.47
LAJ,RSE,R1 - Downtown Reservoir,2010-01-08,22,736.49
LAJ,RSE,R1 - Downtown Reservoir,2010-01-08,23,736.49
LAJ,RSE,R1 - Downtown Reservoir,2010-01-08,24,736.472
LAJ,RSE,R1 - Downtown Reservoir,2010-01-09,1,736.45
LAJ,RSE,R1 - Downtown Reservoir,2010-01-09,2,736.446
LAJ,RSE,R1 - Downtown Reservoir,2010-01-09,3,736.43
LAJ,RSE,R1 - Downtown Reservoir,2010-01-09,4,736.432
LAJ,RSE,R1 - Downtown Reservoir,2010-01-09,5,736.437
LAJ,RSE,R1 - Downtown Reservoir,2010-01-09,6,736.433
LAJ,RSE,R1 - Downtown Reservoir,2010-01-09,7,736.427
LAJ,RSE,R1 - Downtown Reservoir,2010-01-09,8,736.412
LAJ,RSE,R1 - Downtown Reservoir,2010-01-09,9,736.406
LAJ,RSE,R1 - Downtown Reservoir,2010-01-09,10,736.392
LAJ,RSE,R1 - Downtown Reservoir,2010-01-09,11,736.402
LAJ,RSE,R1 - Downtown Reservoir,2010-01-09,12,736.39
LAJ,RSE,R1 - Downtown Reservoir,2010-01-09,13,736.39
LAJ,RSE,R1 - Downtown Reservoir,2010-01-09,14,736.378
LAJ,RSE,R1 - Downtown Reservoir,2010-01-09,15,736.358
LAJ,RSE,R1 - Downtown Reservoir,2010-01-09,16,736.367
LAJ,RSE,R1 - Downtown Reservoir,2010-01-09,17,736.353
LAJ,RSE,R1 - Downtown Reservoir,2010-01-09,18,736.342
LAJ,RSE,R1 - Downtown Reservoir,2010-01-09,19,736.322
LAJ,RSE,R1 - Downtown Reservoir,2010-01-09,20,736.339
LAJ,RSE,R1 - Downtown Reservoir,2010-01-09,21,736.32
LAJ,RSE,R1 - Downtown Reservoir,2010-01-09,22,736.328
LAJ,RSE,R1 - Downtown Reservoir,2010-01-09,23,736.311
LAJ,RSE,R1 - Downtown Reservoir,2010-01-09,24,736.313
LAJ,RSE,R1 - Downtown Reservoir,2010-01-10,1,736.309
LAJ,RSE,R1 - Downtown Reservoir,2010-01-10,2,736.29
LAJ,RSE,R1 - Downtown Reservoir,2010-01-10,3,736.294
LAJ,RSE,R1 - Downtown Reservoir,2010-01-10,4,736.283
LAJ,RSE,R1 - Downtown Reservoir,2010-01-10,5,736.285
LAJ,RSE,R1 - Downtown Reservoir,2010-01-10,6,736.253
LAJ,RSE,R1 - Downtown Reservoir,2010-01-10,7,736.27
LAJ,RSE,R1 - Downtown Reservoir,2010-01-10,8,736.268
LAJ,RSE,R1 - Downtown Reservoir,2010-01-10,9,736.24
LAJ,RSE,R1 - Downtown Reservoir,2010-01-10,10,736.246
LAJ,RSE,R1 - Downtown Reservoir,2010-01-10,11,736.236
LAJ,RSE,R1 - Downtown Reservoir,2010-01-10,12,736.236
LAJ,RSE,R1 - Downtown Reservoir,2010-01-10,13,736.221
LAJ,RSE,R1 - Downtown Reservoir,2010-01-10,14,736.211
LAJ,RSE,R1 - Downtown Reservoir,2010-01-10,15,736.213
LAJ,RSE,R1 - Downtown Reservoir,2010-01-10,16,736.21
LAJ,RSE,R1 - Downtown Reservoir,2010-01-10,17,736.2
LAJ,RSE,R1 - Downtown Reservoir,2010-01-10,18,736.198
LAJ,RSE,R1 - Downtown Reservoir,2010-01-10,19,736.199
LAJ,RSE,R1 - Downtown Reservoir,2010-01-10,20,736.177
LAJ,RSE,R1 - Downtown Reservoir,2010-01-10,21,736.184
LAJ,RSE,R1 - Downtown Reservoir,2010-01-10,22,736.175
LAJ,RSE,R1 - Downtown Reservoir,2010-01-10,23,736.162
LAJ,RSE,R1 - Downtown Reservoir,2010-01-10,24,736.154
LAJ,RSE,R1 - Downtown Reservoir,2010-01-11,1,736.16
LAJ,RSE,R1 - Downtown Reservoir,2010-01-11,2,736.156
LAJ,RSE,R1 - Downtown Reservoir,2010-01-11,3,736.16
LAJ,RSE,R1 - Downtown Reservoir,2010-01-11,4,736.145
LAJ,RSE,R1 - Downtown Reservoir,2010-01-11,5,736.16
LAJ,RSE,R1 - Downtown Reservoir,2010-01-11,6,736.143
LAJ,RSE,R1 - Downtown Reservoir,2010-01-11,7,736.145
LAJ,RSE,R1 - Downtown Reservoir,2010-01-11,8,736.14
LAJ,RSE,R1 - Downtown Reservoir,2010-01-11,9,736.134
LAJ,RSE,R1 - Downtown Reservoir,2010-01-11,10,736.122
LAJ,RSE,R1 - Downtown Reservoir,2010-01-11,11,736.123
LAJ,RSE,R1 - Downtown Reservoir,2010-01-11,12,736.111
LAJ,RSE,R1 - Downtown Reservoir,2010-01-11,13,736.1
LAJ,RSE,R1 - Downtown Reservoir,2010-01-11,14,736.105
LAJ,RSE,R1 - Downtown Reservoir,2010-01-11,15,736.09
LAJ,RSE,R1 - Downtown Reservoir,2010-01-11,16,736.098
LAJ,RSE,R1 - Downtown Reservoir,2010-01-11,17,736.091
LAJ,RSE,R1 - Downtown Reservoir,2010-01-11,18,736.081
LAJ,RSE,R1 - Downtown Reservoir,2010-01-11,19,736.082
LAJ,RSE,R1 - Downtown Reservoir,2010-01-11,20,736.08
LAJ,RSE,R1 - Downtown Reservoir,2010-01-11,21,736.08
LAJ,RSE,R1 - Downtown Reservoir,2010-01-11,22,736.08
LAJ,RSE,R1 - Downtown Reservoir,2010-01-11,23,736.08
LAJ,RSE,R1 - Downtown Reservoir,2010-01-11,24,736.08
LAJ,RSE,R1 - Downtown Reservoir,2010-01-12,1,736.08
LAJ,RSE,R1 - Downtown Reservoir,2010-01-12,2,736.08
LAJ,RSE,R1 - Downtown Reservoir,2010-01-12,3,736.08
LAJ,RSE,R1 - Downtown Reservoir,2010-01-12,4,736.08
LAJ,RSE,R1 - Downtown Reservoir,2010-01-12,5,736.08
LAJ,RSE,R1 - Downtown Reservoir,2010-01-12,6,736.08
